fl_number,quantity,width,height,gusset,substrate,finish,seal_type,zipper,tear_notch,hole_punch,corners,actual_unit_price,calculated_unit_price,error_pct,direction,hp_cost,thermo_cost,poucher_cost,total_cost,labels_per_cycle,gear_teeth,no_across,no_around
,5000,4.25,4.5,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,None,Rounded,0.2708,0.18974,29.93,UNDER,243.26,93.61,611.82,948.69,8,272,1,8
,10000,4.25,4.5,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,None,Rounded,0.22083,0.14762,33.15,UNDER,443.63,159.55,873.0,1476.18,8,272,1,8
FL-DL-1420,5000,3.0,6.0,0,MET PET,Matte,3 Side Seal,CR Zipper,Standard,None,Straight,0.17409,0.14244,18.18,UNDER,181.62,73.65,456.95,712.22,12,288,1,12
FL-DL-1420,10000,3.0,6.0,0,MET PET,Matte,3 Side Seal,CR Zipper,Standard,None,Straight,0.1403,0.10819,22.88,UNDER,320.56,120.21,641.18,1081.94,12,288,1,12
FL-DL-1420,25000,3.0,6.0,0,MET PET,Matte,3 Side Seal,CR Zipper,Standard,None,Straight,0.11888,0.08693,26.88,UNDER,737.35,245.33,1190.55,2173.23,12,288,1,12
FL-DL-1420,50000,3.0,6.0,0,MET PET,Matte,3 Side Seal,CR Zipper,Standard,None,Straight,0.11261,0.08117,27.92,UNDER,1432.02,465.47,2160.94,4058.42,12,288,1,12
FL-DL-1420,100000,3.0,6.0,0,MET PET,Matte,3 Side Seal,CR Zipper,Standard,None,Straight,0.10928,0.0782,28.44,UNDER,2821.34,905.74,4092.65,7819.73,12,288,1,12
FL-DL-1420,250000,3.0,6.0,0,MET PET,Matte,3 Side Seal,CR Zipper,Standard,None,Straight,0.10708,0.07634,28.71,UNDER,6989.32,2226.57,9869.61,19085.5,12,288,1,12
FL-CQ-1417,5000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,None,Rounded,0.23514,0.196,16.65,UNDER,250.93,97.62,631.45,980.0,8,288,1,8
FL-CQ-1417,10000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,None,Rounded,0.19391,0.15351,20.83,UNDER,459.16,167.44,908.49,1535.1,8,288,1,8
FL-CQ-1417,15000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,None,Rounded,0.17663,0.13577,23.13,UNDER,667.72,223.26,1145.54,2036.53,8,288,1,8
FL-CQ-1417,20000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,None,Rounded,0.17091,0.13023,23.8,UNDER,875.96,289.25,1439.3,2604.51,8,288,1,8
FL-CQ-1417,25000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,None,Rounded,0.16753,0.12694,24.23,UNDER,1084.52,355.34,1733.53,3173.4,8,288,1,8
