fl_number,width,height,gusset,substrate,finish,seal_type,zipper,quantity,unit_price,known_unit_cost,residual,residual_pct,known_pct,click_cost_per_unit,priming_per_unit,hp_labor_per_unit,converting_per_unit,zipper_per_unit,no_across,no_around,stock_width,stock_length_ft,labels_per_cycle
,6.0,6.0,3.0,,,Stand Up,Standard Other: RoundCorners,250000,0.46343,0.1737598956479355,0.28967010435206453,62.50568680319887,37.49431319680114,0.05093238656,0.00667088352,0.031181625167935517,0.055,0.029975000399999993,1,7,15.75,126056.0,7
,6.0,6.0,3.0,,,Stand Up,Standard Other: RoundCorners,500000,0.46134,0.1735418679612718,0.28779813203872817,62.38308666899211,37.61691333100789,0.05092107328,0.006669401760000001,0.030976392521271837,0.055,0.029975000399999993,1,7,15.75,252056.0,7
,5.0,5.0,2.0,,,Stand Up,Standard Other: RoundCorners,25000,0.28896,0.12440508658955068,0.1645549134104493,56.94729838401486,43.05270161598515,0.0224992856,0.0043657040000000015,0.01756092998955068,0.055,0.024979166999999997,2,8,24.5,5303.333333333334,16
,5.0,5.0,2.0,,,Stand Up,Standard Other: RoundCorners,50000,0.26636,0.12220801144514105,0.14415198855485895,54.119232825821804,45.8807671741782,0.022379081999999998,0.00434238,0.015507382445141065,0.055,0.024979166999999997,2,8,24.5,10550.0,16
,5.0,5.0,2.0,,,Stand Up,Standard Other: RoundCorners,75000,0.25944,0.12149260849327762,0.1379473915067224,53.17121165075639,46.8287883492436,0.022348441866666666,0.004336434666666667,0.014828564959944269,0.055,0.024979166999999997,2,8,24.5,15803.333333333334,16
,5.0,5.0,2.0,,,Stand Up,Standard Other: RoundCorners,100000,0.25597,0.12112219044514105,0.13484780955485892,52.68109917367618,47.31890082632381,0.022326050999999996,0.00433209,0.014484882445141066,0.055,0.024979166999999997,2,8,24.5,21050.0,16
,5.0,5.0,2.0,,,Stand Up,Standard Other: RoundCorners,250000,0.2453,0.12047069784514107,0.12482930215485892,50.88842321845044,49.11157678154956,0.022294232400000003,0.004325916,0.013871382445141066,0.055,0.024979166999999997,2,8,24.5,52550.0,16
,5.0,5.0,2.0,,,Stand Up,Standard Other: RoundCorners,500000,0.23887,0.12025353364514108,0.11861646635485892,49.65733091424579,50.34266908575421,0.0222836262,0.004323858,0.013666882445141066,0.055,0.024979166999999997,2,8,24.5,105050.0,16
FL-DL-0704,4.48,5.83,2.37,,,Stand Up,Presto CR Zipper,5000,1.0044,0.13555464353930916,0.8688453564606908,86.50391840508671,13.496081594913298,0.020929568,0.0047784878400000015,0.03246525406730916,0.055,0.022381333632,2,9,28.560000000000002,995.9166666666667,18
FL-DL-0704,4.48,5.83,2.37,,,Stand Up,Presto CR Zipper,10000,0.8052,0.12461048527238394,0.6805895147276161,84.52428151112966,15.475718488870335,0.020363904,0.004649339520000002,0.022215908120383942,0.055,0.022381333632,2,9,28.560000000000002,1938.0,18
FL-DL-0704,4.48,5.83,2.37,,,Stand Up,Presto CR Zipper,25000,0.6782,0.11804399031222881,0.5601560096877712,82.59451632081557,17.40548367918443,0.0200245056,0.004571850528000001,0.01606630055222881,0.055,0.022381333632,2,9,28.560000000000002,4764.25,18
FL-DL-0704,4.48,5.83,2.37,,,Stand Up,Presto CR Zipper,50000,0.63022,0.11585515865884377,0.5143648413411562,81.6167118373197,18.383288162680298,0.0199113728,0.004546020864000001,0.014016431362843768,0.055,0.022381333632,2,9,28.560000000000002,9474.666666666668,18
FL-DL-0704,4.48,5.83,2.37,,,Stand Up,Presto CR Zipper,100000,0.60879,0.11476074283215125,0.4940292571678488,81.14937123931877,18.850628760681225,0.0198548064,0.004533106032000002,0.012991496768151246,0.055,0.022381333632,2,9,28.560000000000002,18895.5,18
FL-DL-0704,4.48,5.83,2.37,,,Stand Up,Presto CR Zipper,250000,0.57318,0.11410409333613573,0.4590759066638643,80.09279923651633,19.907200763483676,0.019820866559999997,0.004525357132800001,0.012376536011335735,0.055,0.022381333632,2,9,28.560000000000002,47158.0,18
,3.5,6.5,0.0,,,Stand Up,Presto CR Zipper,5000,0.4874,0.12148514319646216,0.36591485680353786,75.0748577766799,24.925142223320098,0.015980007999999997,0.0035215320000000004,0.02949818629646216,0.055,0.0174854169,2,12,26.5,791.0,24
