vendor,fl_number,bag_desc,raw_size,substrate,finish,embellishment,fill_style,seal_type,gusset_type,zipper,tear_notch,hole_punch,corner_treatment,width,height,gusset,print_method,source_type,print_width,bag_area_sqin
ross,FL-DL-0997,,"4"" W X 6"" H X 2"" G",CLR PET,Gloss Lam,None,Top,Stand Up,K Seal & Skirt Seal,Standard CR,Standard,Round,Straight,4.0,6.0,2.0,digital,spreadsheet,14.0,24.0
ross,FL-DL-0996,,"5.25"" W X 8.45"" H X 2"" G",CLR PET,Gloss Lam,None,Top,Stand Up,K Seal & Skirt Seal,Standard CR,Standard,Round,Straight,5.25,8.45,2.0,digital,spreadsheet,18.9,44.3625
ross,FL-DL-0980,,4.5W X 6.5H X 1.5G,Wht MET PET,Matte Laminate,None,Top,Stand Up,K Seal & Skirt Seal,CR Zipper,Standard,None,Straight,4.5,6.5,1.5,digital,spreadsheet,14.5,29.25
ross,FL-CQ-0983,,"6.625"" W X 5.25"" H",EVOH Clear,Gloss Lam,None,Top,3 Side Seal,None,CR Zipper,Standard,None,Rounded,6.625,5.25,0.0,digital,spreadsheet,10.5,34.78125
ross,FL-DL-0944,,"5.5"" W X 5"" H X "" G",Wht MET PET,Matte Laminate,Flat Spot UV,Top,Stand Up,K Seal & Skirt Seal,CR Zipper,Standard,None,Rounded,5.5,5.0,0.0,digital,spreadsheet,10.0,27.5
ross,FL-DL-0965,,"2.75"" W X 5.75"" H X 3"" G",Wht MET PET,Matte Laminate,None,Top,Stand Up,K Seal & Skirt Seal,No Zipper,Standard,None,Straight,2.75,5.75,3.0,digital,spreadsheet,14.5,15.8125
ross,FL-DL-0959,,"2.625""W X 6.375"" H",MET PET,Gloss Lam,None,Bottom,3 Side Seal,Corners: Straight,Standard CR,Standard,None,Straight,2.625,6.375,0.0,digital,spreadsheet,12.75,16.734375
ross,FL-DL-0956,,"5"" W X 8.125"" H X 3"" G",Wht MET PET,Matte Laminate,None,Top,Stand Up,K Seal & Skirt Seal,Standard CR,Standard,None,Straight,5.0,8.125,3.0,digital,spreadsheet,19.25,40.625
ross,FL-DL-0955,,"4"" W X 6.63"" H X 2"" G",Wht MET PET,Matte Laminate,None,Top,Stand Up,K Seal & Skirt Seal,Standard CR,Standard,None,Straight,4.0,6.63,2.0,digital,spreadsheet,15.26,26.52
ross,FL-DL-0943,,"6.5"" W X 8"" H X 2"" G",Wht MET PET,Matte Laminate,FLat Spot UV,Top,Stand Up,K Seal & Skirt Seal,Standard CR,Standard,None,Rounded,6.5,8.0,2.0,digital,spreadsheet,18.0,52.0
